date,Accessories,Audio,Desktop,Laptop,Smart Speaker,Smartphone,Streaming Device,Subscription Service,Tablet,Wearable,Accessories_lag1,Accessories_roll7,Audio_lag1,Audio_roll7,Desktop_lag1,Desktop_roll7,Laptop_lag1,Laptop_roll7,Smart Speaker_lag1,Smart Speaker_roll7,Smartphone_lag1,Smartphone_roll7,Streaming Device_lag1,Streaming Device_roll7,Subscription Service_lag1,Subscription Service_roll7,Tablet_lag1,Tablet_roll7,Wearable_lag1,Wearable_roll7,day_of_week,month
2020-01-07,434,378,355,319,88,542,90,266,354,432,535.0,498.7142857142857,407.0,421.57142857142856,366.0,365.7142857142857,397.0,359.2857142857143,97.0,60.57142857142857,443.0,488.85714285714283,66.0,108.42857142857143,181.0,239.85714285714286,373.0,335.14285714285717,335.0,327.85714285714283,1,1
2020-01-08,621,528,389,342,89,433,81,269,271,283,434.0,512.2857142857143,378.0,424.2857142857143,355.0,358.0,319.0,361.42857142857144,88.0,64.28571428571429,542.0,485.57142857142856,90.0,102.28571428571429,266.0,239.14285714285714,354.0,322.14285714285717,432.0,333.42857142857144,2,1
2020-01-09,406,365,304,379,77,603,57,266,299,321,621.0,494.14285714285717,528.0,422.42857142857144,389.0,353.7142857142857,342.0,368.14285714285717,89.0,69.28571428571429,433.0,502.0,81.0,93.85714285714286,269.0,245.28571428571428,271.0,325.7142857142857,283.0,341.0,3,1
2020-01-10,552,368,287,417,62,452,143,262,360,302,406.0,501.2857142857143,365.0,414.2857142857143,304.0,339.85714285714283,379.0,370.0,77.0,70.85714285714286,603.0,493.14285714285717,57.0,104.42857142857143,266.0,250.42857142857142,299.0,329.14285714285717,321.0,332.57142857142856,4,1
2020-01-11,421,340,330,359,79,488,54,258,354,411,552.0,500.14285714285717,368.0,405.42857142857144,287.0,342.2857142857143,417.0,365.0,62.0,75.71428571428571,452.0,501.0,143.0,93.28571428571429,262.0,250.28571428571428,360.0,336.0,302.0,348.0,5,1
2020-01-12,408,453,389,365,68,468,72,180,322,310,421.0,482.42857142857144,340.0,405.57142857142856,330.0,345.7142857142857,359.0,368.2857142857143,79.0,80.0,488.0,489.85714285714283,54.0,80.42857142857143,258.0,240.28571428571428,354.0,333.2857142857143,411.0,342.0,6,1
2020-01-13,536,550,401,320,88,450,136,270,311,303,408.0,482.57142857142856,453.0,426.0,389.0,350.7142857142857,365.0,357.2857142857143,68.0,78.71428571428571,468.0,490.85714285714283,72.0,90.42857142857143,180.0,253.0,322.0,324.42857142857144,310.0,337.42857142857144,0,1
2020-01-14,419,385,397,287,72,440,90,243,332,345,536.0,480.42857142857144,550.0,427.0,401.0,356.7142857142857,320.0,352.7142857142857,88.0,76.42857142857143,450.0,476.2857142857143,136.0,90.42857142857143,270.0,249.71428571428572,311.0,321.2857142857143,303.0,325.0,1,1
2020-01-15,507,407,284,405,79,420,100,199,400,292,419.0,464.14285714285717,385.0,409.7142857142857,397.0,341.7142857142857,287.0,361.7142857142857,72.0,75.0,440.0,474.42857142857144,90.0,93.14285714285714,243.0,239.71428571428572,332.0,339.7142857142857,345.0,326.2857142857143,2,1
2020-01-16,452,381,277,389,78,386,108,300,388,284,507.0,470.7142857142857,407.0,412.0,284.0,337.85714285714283,405.0,363.14285714285717,79.0,75.14285714285714,420.0,443.42857142857144,100.0,100.42857142857143,199.0,244.57142857142858,400.0,352.42857142857144,292.0,321.0,3,1
